3,2
4,2
5,2
6,2
8,2
10,4
11,3
12,3
13,0
14,3
17,-1
21,2
22,3
23,4
26,1
27,3
28,3
29,4
30,3
31,3
32,3
33,2
35,2
37,2
38,-2
39,2
42,3
43,1
44,1
45,2
46,4
47,2
49,4
50,3
51,3
52,4
54,3
55,2
57,1
58,2
60,1
61,3
62,3
64,1
65,3
67,3
68,3
69,2
70,0
72,4
74,3
76,0
79,2
83,3
84,2
89,2
90,2
92,4
93,5
98,1
99,2
100,1
102,4
103,5
105,4
107,3
110,3
114,3
115,2
118,3
119,3
145,3
146,4
147,4
151,4
156,2
157,2
159,2
160,2
166,1
168,2
169,3
170,2
171,2
172,0
174,3
175,3
176,1
177,1
178,5
181,3
184,3
185,2
190,4
191,2
198,2
199,1
201,3
203,3
204,3
205,3
206,0
207,4
209,3
210,4
211,1
212,4
214,2
215,2
216,2
217,1
218,3
219,3
220,5
221,1
222,2
224,2
